user_id,name,email,phone,age,city,profession,social_score,app_usage_score,bill_payment_score,recharge_pattern_score,is_defaulter
31,User31,user31@example.com,9876500031,47,Delhi,Driver,0.21,0.4,0.57,0.07,0
32,User32,user32@example.com,9876500032,23,Bangalore,Teacher,0.42,0.4,0.73,0.43,1
33,User33,user33@example.com,9876500033,47,Bangalore,Teacher,0.46,0.4,0.42,0.21,0
34,User34,user34@example.com,9876500034,38,Bangalore,Freelancer,0.58,0.59,0.77,0.04,0
35,User35,user35@example.com,9876500035,23,Bangalore,Teacher,0.91,0.79,0.61,0.35,1
36,User36,user36@example.com,9876500036,20,Mumbai,Driver,0.85,0.98,0.05,0.38,0
37,User37,user37@example.com,9876500037,46,Bangalore,Freelancer,0.52,0.62,0.89,0.14,0
38,User38,user38@example.com,9876500038,47,Mumbai,Engineer,0.08,0.88,0.2,0.75,0
39,User39,user39@example.com,9876500039,40,Bangalore,Driver,0.49,0.66,0.97,0.19,0
40,User40,user40@example.com,9876500040,44,Bangalore,Engineer,0.37,0.95,0.23,0.94,0
41,User41,user41@example.com,9876500041,24,Mumbai,Engineer,0.6,0.93,0.58,0.79,0
42,User42,user42@example.com,9876500042,35,Delhi,Driver,0.58,0.62,0.66,0.18,0
43,User43,user43@example.com,9876500043,36,Delhi,Teacher,0.68,0.84,0.61,0.3,0
44,User44,user44@example.com,9876500044,21,Bangalore,Freelancer,0.55,0.09,0.54,0.61,1
45,User45,user45@example.com,9876500045,34,Delhi,Teacher,0.09,0.06,0.24,0.11,0
46,User46,user46@example.com,9876500046,37,Mumbai,Manager,0.96,0.45,0.42,0.03,0
47,User47,user47@example.com,9876500047,23,Bangalore,Teacher,0.32,0.54,0.52,0.89,0
48,User48,user48@example.com,9876500048,29,Delhi,Teacher,0.69,0.08,0.15,0.44,1
49,User49,user49@example.com,9876500049,23,Chennai,Teacher,0.96,0.53,0.82,0.06,0
50,User50,user50@example.com,9876500050,47,Delhi,Freelancer,0.44,0.35,0.92,0.1,0
51,User51,user51@example.com,9876500051,49,Delhi,Teacher,0.12,0.72,0.66,0.95,0
52,User52,user52@example.com,9876500052,43,Bangalore,Freelancer,0.13,0.86,0.64,0.69,1
53,User53,user53@example.com,9876500053,38,Kolkata,Freelancer,0.67,0.65,0.95,0.24,1
54,User54,user54@example.com,9876500054,31,Chennai,Manager,0.28,0.17,0.88,0.92,0
55,User55,user55@example.com,9876500055,22,Mumbai,Manager,0.03,0.45,0.46,0.43,0
56,User56,user56@example.com,9876500056,22,Delhi,Engineer,0.84,0.08,0.92,0.66,0
57,User57,user57@example.com,9876500057,40,Bangalore,Teacher,0.33,0.1,0.14,0.89,0
58,User58,user58@example.com,9876500058,41,Chennai,Driver,0.79,0.88,0.94,0.03,1
59,User59,user59@example.com,9876500059,36,Kolkata,Freelancer,0.45,0.41,0.21,0.25,0
60,User60,user60@example.com,9876500060,38,Bangalore,Teacher,0.31,0.34,0.86,0.26,0
61,User61,user61@example.com,9876500061,33,Chennai,Freelancer,0.28,0.51,0.52,0.51,0
62,User62,user62@example.com,9876500062,43,Bangalore,Driver,0.75,0.21,0.09,0.78,1
63,User63,user63@example.com,9876500063,46,Kolkata,Manager,0.61,0.92,0.2,0.19,0
64,User64,user64@example.com,9876500064,26,Chennai,Driver,0.99,0.28,0.6,0.68,1
65,User65,user65@example.com,9876500065,34,Mumbai,Teacher,0.86,0.26,0.04,0.85,0
66,User66,user66@example.com,9876500066,40,Mumbai,Teacher,0.61,0.92,0.01,0.74,0
67,User67,user67@example.com,9876500067,46,Kolkata,Engineer,0.52,0.88,0.95,0.75,0
68,User68,user68@example.com,9876500068,27,Delhi,Freelancer,0.53,0.44,0.62,0.05,0
69,User69,user69@example.com,9876500069,43,Kolkata,Driver,0.93,0.4,0.33,0.42,1
70,User70,user70@example.com,9876500070,26,Mumbai,Teacher,0.1,0.95,0.66,0.74,0
71,User71,user71@example.com,9876500071,27,Chennai,Engineer,0.49,0.71,0.84,0.91,0
72,User72,user72@example.com,9876500072,42,Mumbai,Manager,0.97,0.1,0.23,0.31,1
73,User73,user73@example.com,9876500073,46,Kolkata,Teacher,0.01,0.01,0.74,0.99,0
74,User74,user74@example.com,9876500074,24,Kolkata,Freelancer,0.67,0.42,0.74,0.26,0
75,User75,user75@example.com,9876500075,29,Kolkata,Driver,0.34,0.83,0.07,0.28,0
76,User76,user76@example.com,9876500076,40,Mumbai,Engineer,0.03,0.9,0.97,0.21,1
77,User77,user77@example.com,9876500077,33,Bangalore,Freelancer,0.78,0.13,0.06,0.83,0
78,User78,user78@example.com,9876500078,46,Chennai,Manager,0.69,0.43,0.81,0.21,0
79,User79,user79@example.com,9876500079,36,Delhi,Manager,0.02,0.27,0.46,0.05,0
80,User80,user80@example.com,9876500080,40,Kolkata,Engineer,0.11,0.72,0.68,0.18,0
81,User81,user81@example.com,9876500081,41,Delhi,Freelancer,0.69,0.26,0.84,0.9,0
82,User82,user82@example.com,9876500082,26,Mumbai,Manager,0.15,0.5,0.07,0.76,0
83,User83,user83@example.com,9876500083,30,Kolkata,Teacher,0.1,0.76,0.79,0.31,1
84,User84,user84@example.com,9876500084,39,Mumbai,Freelancer,0.11,0.17,0.35,0.82,1
85,User85,user85@example.com,9876500085,27,Kolkata,Teacher,0.32,0.4,0.09,0.65,0
86,User86,user86@example.com,9876500086,29,Kolkata,Teacher,0.62,0.44,1.0,0.41,0
87,User87,user87@example.com,9876500087,38,Bangalore,Engineer,0.72,0.99,0.51,0.13,0
88,User88,user88@example.com,9876500088,44,Bangalore,Teacher,0.1,0.06,0.72,0.38,0
89,User89,user89@example.com,9876500089,23,Delhi,Driver,0.32,0.36,0.77,0.76,1
90,User90,user90@example.com,9876500090,46,Mumbai,Freelancer,0.94,0.06,0.04,0.97,0
91,User91,user91@example.com,9876500091,28,Chennai,Freelancer,0.25,0.59,0.54,0.05,1
92,User92,user92@example.com,9876500092,49,Mumbai,Engineer,1.0,0.86,0.28,0.87,0
93,User93,user93@example.com,9876500093,34,Delhi,Manager,0.81,0.09,0.87,0.7,0
94,User94,user94@example.com,9876500094,47,Mumbai,Driver,0.72,0.31,0.07,0.06,0
95,User95,user95@example.com,9876500095,21,Chennai,Manager,0.2,0.57,0.18,0.4,0
96,User96,user96@example.com,9876500096,38,Kolkata,Freelancer,0.8,0.09,0.75,0.23,0
97,User97,user97@example.com,9876500097,23,Kolkata,Driver,0.44,0.77,0.95,0.84,0
98,User98,user98@example.com,9876500098,47,Delhi,Engineer,0.99,0.07,0.13,0.03,0
99,User99,user99@example.com,9876500099,32,Mumbai,Driver,0.99,0.64,0.35,0.1,0
100,User100,user100@example.com,9876500100,35,Bangalore,Freelancer,0.17,0.1,0.19,0.43,0
101,User101,user101@example.com,9876500101,44,Delhi,Teacher,0.7,0.37,0.64,0.32,1
102,User102,user102@example.com,9876500102,45,Kolkata,Teacher,0.23,0.84,0.9,0.0,1
103,User103,user103@example.com,9876500103,32,Kolkata,Manager,0.48,0.76,0.08,0.93,1
104,User104,user104@example.com,9876500104,26,Bangalore,Manager,0.68,0.94,0.41,0.71,0
105,User105,user105@example.com,9876500105,40,Mumbai,Teacher,0.56,0.29,0.45,0.02,0
106,User106,user106@example.com,9876500106,46,Chennai,Teacher,0.48,0.88,0.96,0.04,0
107,User107,user107@example.com,9876500107,45,Delhi,Driver,0.64,0.02,0.81,0.87,1
108,User108,user108@example.com,9876500108,41,Bangalore,Engineer,0.44,0.23,0.12,0.43,0
109,User109,user109@example.com,9876500109,40,Chennai,Freelancer,0.59,0.41,0.97,0.87,0
110,User110,user110@example.com,9876500110,35,Mumbai,Freelancer,0.05,0.21,0.51,0.36,0
111,User111,user111@example.com,9876500111,38,Delhi,Manager,0.61,0.31,0.44,0.05,0
112,User112,user112@example.com,9876500112,26,Mumbai,Manager,0.64,0.18,0.19,0.16,0
113,User113,user113@example.com,9876500113,20,Mumbai,Manager,0.01,0.13,0.95,0.35,0
114,User114,user114@example.com,9876500114,41,Kolkata,Freelancer,0.01,0.03,0.3,0.6,0
115,User115,user115@example.com,9876500115,39,Kolkata,Driver,0.86,0.87,0.37,0.76,0
116,User116,user116@example.com,9876500116,46,Delhi,Driver,0.03,0.09,0.93,0.72,1
117,User117,user117@example.com,9876500117,41,Mumbai,Teacher,0.73,0.59,0.31,0.93,0
118,User118,user118@example.com,9876500118,38,Chennai,Engineer,0.37,0.59,0.4,0.16,1
119,User119,user119@example.com,9876500119,35,Mumbai,Teacher,0.21,0.13,0.75,0.13,0
120,User120,user120@example.com,9876500120,22,Chennai,Driver,0.84,0.56,0.16,0.72,0
121,User121,user121@example.com,9876500121,39,Kolkata,Driver,0.1,0.82,0.33,0.25,0
122,User122,user122@example.com,9876500122,31,Bangalore,Manager,0.25,0.45,0.0,0.66,1
123,User123,user123@example.com,9876500123,30,Mumbai,Teacher,0.29,0.75,0.12,0.23,0
124,User124,user124@example.com,9876500124,49,Bangalore,Engineer,0.09,0.4,0.94,0.85,0
125,User125,user125@example.com,9876500125,31,Kolkata,Teacher,0.44,0.32,0.71,0.16,0
126,User126,user126@example.com,9876500126,29,Bangalore,Driver,0.25,0.99,0.28,0.6,0
127,User127,user127@example.com,9876500127,38,Kolkata,Freelancer,0.82,0.72,0.84,0.41,0
128,User128,user128@example.com,9876500128,24,Delhi,Driver,0.17,0.46,0.75,0.49,0
129,User129,user129@example.com,9876500129,47,Bangalore,Teacher,0.14,0.5,0.56,0.04,1
130,User130,user130@example.com,9876500130,26,Kolkata,Driver,0.71,0.21,0.06,0.61,1
131,User131,user131@example.com,9876500131,47,Bangalore,Driver,0.34,0.67,0.94,0.22,0
132,User132,user132@example.com,9876500132,25,Bangalore,Teacher,0.36,0.33,0.96,0.14,1
133,User133,user133@example.com,9876500133,24,Delhi,Freelancer,0.88,0.74,0.3,0.42,1
134,User134,user134@example.com,9876500134,27,Bangalore,Engineer,0.3,0.72,0.67,0.27,0
135,User135,user135@example.com,9876500135,30,Delhi,Driver,0.39,0.24,0.68,0.14,0
136,User136,user136@example.com,9876500136,26,Delhi,Engineer,0.52,0.69,0.04,0.26,1
137,User137,user137@example.com,9876500137,48,Bangalore,Driver,0.16,0.46,0.91,0.93,0
138,User138,user138@example.com,9876500138,24,Delhi,Teacher,0.61,0.28,0.47,0.52,0
139,User139,user139@example.com,9876500139,35,Delhi,Manager,0.49,0.77,0.11,0.51,0
140,User140,user140@example.com,9876500140,43,Kolkata,Freelancer,0.25,0.68,0.2,0.2,0
141,User141,user141@example.com,9876500141,44,Bangalore,Engineer,0.84,0.67,0.95,0.01,1
142,User142,user142@example.com,9876500142,21,Kolkata,Freelancer,0.91,0.7,0.29,0.96,0
143,User143,user143@example.com,9876500143,20,Chennai,Freelancer,0.93,0.24,0.19,0.54,0
144,User144,user144@example.com,9876500144,20,Mumbai,Driver,0.85,0.04,0.26,0.21,0
145,User145,user145@example.com,9876500145,29,Chennai,Driver,0.25,0.05,0.43,0.26,0
146,User146,user146@example.com,9876500146,28,Mumbai,Manager,0.58,0.88,0.78,0.63,0
147,User147,user147@example.com,9876500147,34,Delhi,Manager,0.71,0.7,0.57,0.43,0
148,User148,user148@example.com,9876500148,49,Chennai,Freelancer,0.93,0.3,0.46,0.5,0
149,User149,user149@example.com,9876500149,29,Bangalore,Driver,0.23,0.66,0.52,0.08,0
150,User150,user150@example.com,9876500150,47,Mumbai,Driver,0.23,0.67,0.69,0.4,1
151,User151,user151@example.com,9876500151,43,Mumbai,Teacher,0.26,0.59,0.3,0.01,0
152,User152,user152@example.com,9876500152,29,Kolkata,Manager,1.0,0.05,0.39,0.28,0
153,User153,user153@example.com,9876500153,45,Mumbai,Driver,0.79,0.01,0.57,0.54,1
154,User154,user154@example.com,9876500154,38,Bangalore,Manager,0.01,0.5,0.08,0.48,1
155,User155,user155@example.com,9876500155,38,Mumbai,Engineer,0.42,0.29,0.72,0.99,0
156,User156,user156@example.com,9876500156,28,Chennai,Engineer,0.54,0.75,0.04,0.21,0
157,User157,user157@example.com,9876500157,36,Mumbai,Freelancer,0.59,0.07,0.03,0.31,1
158,User158,user158@example.com,9876500158,39,Mumbai,Manager,0.28,0.62,0.45,0.58,0
159,User159,user159@example.com,9876500159,33,Bangalore,Manager,0.71,0.47,0.04,0.71,0
160,User160,user160@example.com,9876500160,38,Bangalore,Manager,0.44,0.83,0.22,0.78,0
161,User161,user161@example.com,9876500161,30,Delhi,Engineer,0.99,0.39,0.55,0.95,0
162,User162,user162@example.com,9876500162,42,Chennai,Engineer,0.41,0.39,0.62,0.33,0
163,User163,user163@example.com,9876500163,35,Bangalore,Engineer,0.09,0.43,0.54,0.21,0
164,User164,user164@example.com,9876500164,43,Chennai,Teacher,1.0,0.83,0.54,0.82,0
165,User165,user165@example.com,9876500165,45,Chennai,Teacher,0.1,0.16,0.23,0.64,0
166,User166,user166@example.com,9876500166,41,Bangalore,Freelancer,0.06,0.38,0.74,0.38,0
167,User167,user167@example.com,9876500167,20,Chennai,Manager,0.36,0.08,0.91,0.76,0
168,User168,user168@example.com,9876500168,21,Kolkata,Teacher,0.65,0.2,0.34,0.72,0
169,User169,user169@example.com,9876500169,20,Chennai,Driver,0.34,0.05,0.43,0.67,0
170,User170,user170@example.com,9876500170,35,Delhi,Teacher,0.11,0.35,0.01,0.93,0
171,User171,user171@example.com,9876500171,29,Bangalore,Driver,0.48,0.25,0.54,0.23,0
172,User172,user172@example.com,9876500172,32,Delhi,Manager,0.16,0.17,0.82,0.84,0
173,User173,user173@example.com,9876500173,34,Delhi,Teacher,0.56,0.29,0.84,0.05,0
174,User174,user174@example.com,9876500174,31,Mumbai,Driver,0.35,0.76,0.78,0.2,1
175,User175,user175@example.com,9876500175,35,Bangalore,Driver,0.21,0.07,0.03,0.82,0
176,User176,user176@example.com,9876500176,44,Mumbai,Manager,0.55,0.19,0.06,0.72,0
177,User177,user177@example.com,9876500177,46,Chennai,Manager,0.07,0.32,0.03,0.13,0
178,User178,user178@example.com,9876500178,25,Bangalore,Teacher,0.84,0.69,0.19,0.7,0
179,User179,user179@example.com,9876500179,46,Chennai,Manager,0.6,0.27,0.36,0.43,0
180,User180,user180@example.com,9876500180,21,Bangalore,Teacher,0.87,0.84,0.34,0.03,0
181,User181,user181@example.com,9876500181,39,Delhi,Teacher,0.98,0.66,0.75,0.11,1
182,User182,user182@example.com,9876500182,26,Chennai,Engineer,0.51,0.4,0.22,0.96,1
183,User183,user183@example.com,9876500183,43,Chennai,Engineer,0.58,0.09,0.2,0.79,0
184,User184,user184@example.com,9876500184,41,Delhi,Teacher,0.94,0.09,0.85,0.69,0
185,User185,user185@example.com,9876500185,37,Kolkata,Freelancer,0.84,0.28,0.81,0.6,0
186,User186,user186@example.com,9876500186,28,Delhi,Driver,0.2,0.71,0.11,0.55,1
187,User187,user187@example.com,9876500187,37,Mumbai,Engineer,0.1,0.81,0.13,0.8,1
188,User188,user188@example.com,9876500188,22,Bangalore,Driver,0.46,0.7,0.52,0.06,0
189,User189,user189@example.com,9876500189,38,Mumbai,Engineer,0.83,0.23,0.98,0.04,1
190,User190,user190@example.com,9876500190,37,Delhi,Engineer,0.85,0.39,0.53,0.76,1
191,User191,user191@example.com,9876500191,27,Chennai,Driver,0.32,0.49,0.26,0.29,0
192,User192,user192@example.com,9876500192,43,Bangalore,Manager,0.48,0.63,0.18,0.19,0
193,User193,user193@example.com,9876500193,28,Delhi,Freelancer,0.34,0.28,0.35,0.05,0
194,User194,user194@example.com,9876500194,37,Chennai,Freelancer,0.98,0.77,0.37,0.49,0
195,User195,user195@example.com,9876500195,36,Bangalore,Freelancer,0.71,0.02,0.11,0.86,0
196,User196,user196@example.com,9876500196,40,Kolkata,Teacher,0.46,0.06,0.15,0.7,0
197,User197,user197@example.com,9876500197,32,Bangalore,Freelancer,0.22,0.24,0.38,0.06,1
198,User198,user198@example.com,9876500198,21,Bangalore,Freelancer,0.73,0.76,0.98,0.21,0
199,User199,user199@example.com,9876500199,23,Delhi,Freelancer,0.16,0.39,0.96,0.01,0
200,User200,user200@example.com,9876500200,36,Kolkata,Engineer,0.86,0.99,0.35,0.68,1
201,User201,user201@example.com,9876500201,25,Delhi,Engineer,0.31,0.81,0.45,0.74,0
202,User202,user202@example.com,9876500202,24,Delhi,Manager,0.87,0.83,0.14,0.82,0
203,User203,user203@example.com,9876500203,29,Bangalore,Teacher,0.33,0.36,0.94,0.72,0
204,User204,user204@example.com,9876500204,21,Kolkata,Teacher,0.18,0.8,0.76,0.76,0
205,User205,user205@example.com,9876500205,43,Mumbai,Manager,0.05,0.72,0.35,0.09,0
206,User206,user206@example.com,9876500206,47,Bangalore,Engineer,0.55,0.38,0.06,0.29,1
207,User207,user207@example.com,9876500207,34,Bangalore,Freelancer,0.29,0.54,0.72,0.22,1
208,User208,user208@example.com,9876500208,48,Kolkata,Engineer,0.1,0.43,0.9,0.94,0
209,User209,user209@example.com,9876500209,23,Chennai,Manager,0.06,0.76,0.3,0.46,1
210,User210,user210@example.com,9876500210,33,Chennai,Teacher,0.3,0.84,0.42,0.36,0
211,User211,user211@example.com,9876500211,22,Delhi,Freelancer,0.22,0.56,0.21,0.81,0
212,User212,user212@example.com,9876500212,39,Kolkata,Freelancer,0.73,0.34,0.38,0.56,1
213,User213,user213@example.com,9876500213,40,Chennai,Freelancer,0.51,0.59,0.51,0.47,0
214,User214,user214@example.com,9876500214,25,Kolkata,Driver,0.94,0.24,0.45,0.24,0
215,User215,user215@example.com,9876500215,33,Kolkata,Engineer,0.6,0.71,0.96,0.65,0
216,User216,user216@example.com,9876500216,37,Mumbai,Engineer,0.95,0.28,0.58,0.17,1
217,User217,user217@example.com,9876500217,38,Chennai,Driver,0.39,0.06,0.64,0.54,0
218,User218,user218@example.com,9876500218,40,Bangalore,Manager,0.29,0.69,0.21,0.77,0
219,User219,user219@example.com,9876500219,20,Mumbai,Manager,0.2,0.13,0.04,0.9,0
220,User220,user220@example.com,9876500220,47,Bangalore,Freelancer,0.86,0.31,0.24,0.02,1
221,User221,user221@example.com,9876500221,39,Bangalore,Engineer,0.76,0.7,0.09,0.66,0
222,User222,user222@example.com,9876500222,38,Chennai,Freelancer,0.7,0.34,0.99,0.64,0
223,User223,user223@example.com,9876500223,35,Bangalore,Driver,0.93,0.85,0.73,0.71,0
224,User224,user224@example.com,9876500224,25,Chennai,Engineer,0.69,0.61,0.43,0.89,1
225,User225,user225@example.com,9876500225,23,Kolkata,Engineer,0.73,0.96,0.23,0.29,1
226,User226,user226@example.com,9876500226,35,Kolkata,Engineer,0.95,0.38,0.25,0.71,0
227,User227,user227@example.com,9876500227,37,Chennai,Engineer,0.73,0.38,0.73,1.0,0
228,User228,user228@example.com,9876500228,28,Chennai,Freelancer,0.65,0.23,0.54,0.51,0
229,User229,user229@example.com,9876500229,40,Chennai,Teacher,0.15,0.13,1.0,0.11,0
230,User230,user230@example.com,9876500230,40,Delhi,Freelancer,0.45,0.07,0.05,0.46,1
231,User231,user231@example.com,9876500231,31,Delhi,Freelancer,0.96,0.62,0.54,0.33,0
232,User232,user232@example.com,9876500232,24,Kolkata,Engineer,0.53,0.87,0.91,0.4,0
233,User233,user233@example.com,9876500233,22,Mumbai,Engineer,0.26,0.24,0.52,0.42,0
234,User234,user234@example.com,9876500234,22,Bangalore,Manager,0.13,0.43,0.18,0.9,0
235,User235,user235@example.com,9876500235,48,Chennai,Teacher,0.19,0.98,0.26,0.86,0
236,User236,user236@example.com,9876500236,45,Bangalore,Manager,0.2,0.79,0.42,0.66,0
237,User237,user237@example.com,9876500237,48,Mumbai,Manager,0.06,0.45,0.52,0.44,0
238,User238,user238@example.com,9876500238,48,Kolkata,Manager,0.39,0.19,0.86,0.47,0
239,User239,user239@example.com,9876500239,21,Chennai,Driver,0.02,0.68,0.33,0.82,0
240,User240,user240@example.com,9876500240,35,Mumbai,Driver,0.37,0.4,0.43,0.16,0
241,User241,user241@example.com,9876500241,20,Delhi,Engineer,0.93,0.57,0.26,0.38,1
242,User242,user242@example.com,9876500242,35,Bangalore,Freelancer,0.13,0.02,0.25,0.26,1
243,User243,user243@example.com,9876500243,37,Kolkata,Driver,0.13,0.35,0.46,0.08,0
244,User244,user244@example.com,9876500244,49,Kolkata,Engineer,0.95,0.46,0.05,0.01,0
245,User245,user245@example.com,9876500245,36,Bangalore,Engineer,0.87,0.01,0.83,0.46,0
246,User246,user246@example.com,9876500246,21,Kolkata,Teacher,0.42,0.67,0.68,0.9,0
247,User247,user247@example.com,9876500247,31,Bangalore,Engineer,0.82,0.02,0.78,0.64,0
248,User248,user248@example.com,9876500248,45,Mumbai,Driver,0.22,0.74,0.59,0.07,1
249,User249,user249@example.com,9876500249,34,Chennai,Freelancer,0.76,0.04,0.4,0.15,1
250,User250,user250@example.com,9876500250,26,Delhi,Driver,0.2,0.27,0.08,0.67,1
251,User251,user251@example.com,9876500251,31,Kolkata,Driver,0.44,0.03,0.53,0.88,0
252,User252,user252@example.com,9876500252,32,Chennai,Freelancer,0.25,0.95,0.44,0.21,1
253,User253,user253@example.com,9876500253,45,Kolkata,Teacher,0.55,0.67,0.11,0.8,0
254,User254,user254@example.com,9876500254,46,Delhi,Freelancer,0.65,0.69,0.53,0.33,0
255,User255,user255@example.com,9876500255,22,Bangalore,Driver,0.19,0.54,0.67,0.83,0
256,User256,user256@example.com,9876500256,21,Mumbai,Engineer,0.75,0.21,0.98,0.32,0
257,User257,user257@example.com,9876500257,28,Chennai,Manager,0.35,0.51,0.8,0.61,1
258,User258,user258@example.com,9876500258,30,Kolkata,Manager,0.97,0.67,0.48,0.57,0
259,User259,user259@example.com,9876500259,28,Mumbai,Driver,0.34,0.52,0.9,0.64,0
260,User260,user260@example.com,9876500260,22,Chennai,Freelancer,0.7,0.42,0.93,0.56,1
261,User261,user261@example.com,9876500261,26,Chennai,Teacher,0.61,0.12,0.13,0.27,1
262,User262,user262@example.com,9876500262,45,Bangalore,Teacher,0.25,0.3,0.3,0.72,0
263,User263,user263@example.com,9876500263,33,Delhi,Engineer,0.72,0.67,0.99,0.86,1
264,User264,user264@example.com,9876500264,25,Kolkata,Teacher,0.46,0.31,0.72,0.61,0
265,User265,user265@example.com,9876500265,22,Mumbai,Driver,0.78,0.62,0.48,0.55,0
266,User266,user266@example.com,9876500266,35,Mumbai,Driver,0.94,0.36,0.78,0.26,0
267,User267,user267@example.com,9876500267,41,Kolkata,Freelancer,0.75,0.81,0.74,0.09,1
268,User268,user268@example.com,9876500268,49,Kolkata,Engineer,0.88,0.88,0.28,0.48,0
269,User269,user269@example.com,9876500269,27,Chennai,Driver,0.49,0.64,0.15,0.73,0
270,User270,user270@example.com,9876500270,34,Mumbai,Driver,0.83,0.41,0.81,0.97,0
271,User271,user271@example.com,9876500271,44,Kolkata,Engineer,0.74,0.43,0.08,0.35,0
272,User272,user272@example.com,9876500272,43,Delhi,Driver,0.43,0.49,0.77,0.99,1
273,User273,user273@example.com,9876500273,40,Delhi,Freelancer,0.58,0.73,0.12,0.25,0
274,User274,user274@example.com,9876500274,48,Chennai,Manager,0.37,0.29,0.81,0.81,1
275,User275,user275@example.com,9876500275,30,Chennai,Freelancer,0.43,0.73,0.04,0.29,1
276,User276,user276@example.com,9876500276,39,Chennai,Freelancer,0.49,0.83,0.1,0.43,0
277,User277,user277@example.com,9876500277,21,Delhi,Freelancer,0.77,0.28,0.54,0.53,1
278,User278,user278@example.com,9876500278,35,Mumbai,Freelancer,0.5,0.89,0.91,0.02,1
279,User279,user279@example.com,9876500279,36,Mumbai,Freelancer,0.12,0.34,0.94,0.39,0
280,User280,user280@example.com,9876500280,29,Bangalore,Driver,0.72,0.45,0.2,0.03,0
281,User281,user281@example.com,9876500281,31,Mumbai,Manager,0.78,0.91,0.16,0.4,0
282,User282,user282@example.com,9876500282,20,Kolkata,Freelancer,0.45,0.27,0.86,0.79,0
283,User283,user283@example.com,9876500283,23,Delhi,Freelancer,0.31,0.68,0.37,0.18,0
284,User284,user284@example.com,9876500284,46,Mumbai,Teacher,0.31,0.66,0.07,0.88,0
285,User285,user285@example.com,9876500285,46,Mumbai,Engineer,0.23,0.51,0.9,0.02,0
286,User286,user286@example.com,9876500286,37,Mumbai,Engineer,0.51,0.45,0.56,0.5,0
287,User287,user287@example.com,9876500287,47,Chennai,Engineer,0.89,0.95,0.34,0.08,0
288,User288,user288@example.com,9876500288,44,Delhi,Teacher,0.57,0.8,0.59,0.11,0
289,User289,user289@example.com,9876500289,26,Delhi,Teacher,0.7,0.02,0.21,0.23,0
290,User290,user290@example.com,9876500290,25,Bangalore,Freelancer,0.56,0.71,0.78,0.16,0
291,User291,user291@example.com,9876500291,42,Kolkata,Freelancer,0.65,0.66,0.23,0.27,1
292,User292,user292@example.com,9876500292,27,Delhi,Manager,0.67,0.04,0.26,0.56,0
